feature,contribution,abs_contribution
numerical__emp.var.rate,-1.914581261624648,1.914581261624648
numerical__cons.price.idx,0.6958719767519148,0.6958719767519148
numerical__duration,-0.5290730715087121,0.5290730715087121
numerical__euribor3m,0.4058153583195614,0.4058153583195614
categorical__month_may,0.22648837098157973,0.22648837098157973
categorical__marital_divorced,-0.20886252147053194,0.20886252147053194
categorical__contact_telephone,0.2038316881618955,0.2038316881618955
numerical__nr.employed,0.19925124448620468,0.19925124448620468
categorical__marital_married,0.15374554715485422,0.15374554715485422
categorical__housing_yes,0.1296206199106246,0.1296206199106246
categorical__housing_no,-0.12325434475990371,0.12325434475990371
categorical__month_jul,-0.11524162985045526,0.11524162985045526
categorical__default_unknown,0.11183540217544594,0.11183540217544594
categorical__month_jun,0.09958359115496691,0.09958359115496691
categorical__poutcome_failure,0.09296428736854813,0.09296428736854813
categorical__day_of_week_tue,-0.0925548641548815,0.0925548641548815
categorical__month_aug,-0.09176002639927464,0.09176002639927464
numerical__campaign,-0.09119630864792896,0.09119630864792896
categorical__job_blue-collar,0.08188939884828506,0.08188939884828506
categorical__month_nov,0.05035210748265323,0.05035210748265323
categorical__education_basic.9y,0.04705994838529194,0.04705994838529194
categorical__day_of_week_mon,0.0453996236113457,0.0453996236113457
categorical__poutcome_nonexistent,-0.04312638428839175,0.04312638428839175
categorical__day_of_week_thu,0.04276011488115048,0.04276011488115048
categorical__education_high.school,0.042401802396905997,0.042401802396905997
categorical__loan_no,-0.041662142538972685,0.041662142538972685
categorical__default_no,-0.041200494780067966,0.041200494780067966
categorical__loan_yes,0.04084113572622552,0.04084113572622552
numerical__cons.conf.idx,-0.03684415257043936,0.03684415257043936
categorical__marital_single,0.036699857645309114,0.036699857645309114
categorical__job_management,-0.03334714729159191,0.03334714729159191
categorical__education_university.degree,-0.028506335030025122,0.028506335030025122
categorical__education_basic.4y,0.02677084102770147,0.02677084102770147
categorical__month_apr,0.026538864590441403,0.026538864590441403
categorical__job_retired,-0.02594787588428718,0.02594787588428718
numerical__pdays,-0.021088927658361886,0.021088927658361886
categorical__day_of_week_fri,0.019725354715404465,0.019725354715404465
numerical__previous,0.017383256094120055,0.017383256094120055
categorical__month_mar,-0.016409026119230993,0.016409026119230993
categorical__job_entrepreneur,0.013303541254580937,0.013303541254580937
categorical__education_professional.course,0.013294448500402276,0.013294448500402276
categorical__job_services,0.011335591687399157,0.011335591687399157
categorical__job_self-employed,0.00930082382008414,0.00930082382008414
categorical__contact_cellular,-0.006665847968150484,0.006665847968150484
categorical__job_technician,0.004679451007949516,0.004679451007949516
categorical__loan_unknown,0.0038462172873855107,0.0038462172873855107
categorical__housing_unknown,0.0038462172873855107,0.0038462172873855107
numerical__age,0.0037528967337952003,0.0037528967337952003
categorical__job_admin.,0.0032094071309106166,0.0032094071309106166
categorical__job_student,-0.002657430917808924,0.002657430917808924
categorical__education_illiterate,-0.0021505751684441883,0.0021505751684441883
categorical__poutcome_success,-0.002102775074958554,0.002102775074958554
categorical__education_basic.6y,0.0019775489750860557,0.0019775489750860557
categorical__month_oct,0.001933962562986832,0.001933962562986832
categorical__job_housemaid,0.00177535973458787,0.00177535973458787
categorical__education_unknown,0.0015418579225928498,0.0015418579225928498
categorical__day_of_week_wed,0.000650292178622829,0.000650292178622829
categorical__job_unemployed,0.00030242923664671703,0.00030242923664671703
categorical__job_unknown,-0.0,0.0
categorical__marital_unknown,-0.0,0.0
categorical__default_yes,-0.0,0.0
categorical__month_sep,0.0,0.0
categorical__month_dec,0.0,0.0
