feature,contribution,abs_contribution
numerical__duration,-0.0480060483705519,0.0480060483705519
numerical__emp.var.rate,-0.022371809994963597,0.022371809994963597
numerical__nr.employed,-0.013269203437482986,0.013269203437482986
categorical__month_may,0.005351144396034897,0.005351144396034897
categorical__education_university.degree,0.004559913518926919,0.004559913518926919
categorical__month_jul,-0.004231315228316533,0.004231315228316533
categorical__job_management,0.003887957110515785,0.003887957110515785
categorical__contact_telephone,0.0031950575771668354,0.0031950575771668354
categorical__contact_cellular,0.0027335606108096046,0.0027335606108096046
numerical__euribor3m,0.002122721945763928,0.002122721945763928
numerical__age,-0.001828631149453841,0.001828631149453841
numerical__cons.price.idx,-0.0018039364967702908,0.0018039364967702908
categorical__marital_married,0.0016715939194951802,0.0016715939194951802
categorical__poutcome_failure,0.0016698904055520102,0.0016698904055520102
categorical__day_of_week_wed,-0.001579337999351651,0.001579337999351651
categorical__day_of_week_tue,0.0015083817334928895,0.0015083817334928895
categorical__default_unknown,0.0013401771805152407,0.0013401771805152407
numerical__campaign,0.0013127792675460626,0.0013127792675460626
categorical__day_of_week_thu,0.0012473180151550878,0.0012473180151550878
categorical__default_no,0.001204829193308825,0.001204829193308825
categorical__day_of_week_fri,0.0011622238911536441,0.0011622238911536441
categorical__month_jun,-0.0009891311425977278,0.0009891311425977278
categorical__marital_divorced,0.0008222224128197553,0.0008222224128197553
categorical__marital_single,0.0008158289107538508,0.0008158289107538508
categorical__month_oct,-0.0007994282147228659,0.0007994282147228659
numerical__previous,-0.0007778384641706281,0.0007778384641706281
categorical__job_admin.,-0.0006491514083050731,0.0006491514083050731
numerical__pdays,-0.0006107270618525717,0.0006107270618525717
categorical__job_retired,-0.000555503520331655,0.000555503520331655
categorical__month_apr,-0.0005199839207671175,0.0005199839207671175
categorical__housing_yes,0.0005155431028946822,0.0005155431028946822
categorical__month_mar,-0.0005134534953663205,0.0005134534953663205
categorical__job_entrepreneur,-0.000498182994959393,0.000498182994959393
categorical__poutcome_nonexistent,-0.00045813449785867986,0.00045813449785867986
categorical__housing_no,0.00039000497389217513,0.00039000497389217513
categorical__job_student,0.00038252927805274337,0.00038252927805274337
categorical__loan_no,-0.00037905332404619685,0.00037905332404619685
categorical__month_nov,0.00034921674178121974,0.00034921674178121974
categorical__job_blue-collar,-0.00030405250783346107,0.00030405250783346107
categorical__job_services,-0.0002392064939360239,0.0002392064939360239
categorical__loan_yes,0.00023088341768129795,0.00023088341768129795
categorical__poutcome_success,-0.00020997293865548272,0.00020997293865548272
categorical__education_basic.9y,0.0001564776802348433,0.0001564776802348433
categorical__education_professional.course,-0.0001561903457587732,0.0001561903457587732
categorical__education_basic.4y,0.0001554244317105713,0.0001554244317105713
categorical__education_high.school,0.0001386381680744364,0.0001386381680744364
categorical__job_unemployed,-0.0001302600275280952,0.0001302600275280952
categorical__job_self-employed,0.00012051587483256298,0.00012051587483256298
numerical__cons.conf.idx,-0.00010878059673416374,0.00010878059673416374
categorical__day_of_week_mon,7.725967074673435e-05,7.725967074673435e-05
categorical__job_housemaid,-7.69733076680268e-05,7.69733076680268e-05
categorical__job_technician,-7.048396706409221e-05,7.048396706409221e-05
categorical__education_basic.6y,-5.577922446491357e-05,5.577922446491357e-05
categorical__education_illiterate,-5.3333332325564697e-05,5.3333332325564697e-05
categorical__month_aug,3.8939384417062684e-05,3.8939384417062684e-05
categorical__loan_unknown,2.9574314835372208e-05,2.9574314835372208e-05
categorical__education_unknown,7.734762086357704e-06,7.734762086357704e-06
categorical__housing_unknown,-2.4386728068748197e-06,2.4386728068748197e-06
categorical__job_unknown,0.0,0.0
categorical__marital_unknown,0.0,0.0
categorical__default_yes,0.0,0.0
categorical__month_sep,0.0,0.0
categorical__month_dec,0.0,0.0
