feature,contribution,abs_contribution
numerical__ExternalRiskEstimate,1.1649086298782934,1.1649086298782934
numerical__PercentTradesNeverDelq,0.5893570073709969,0.5893570073709969
numerical__NumInqLast6M,-0.573481063005434,0.573481063005434
numerical__NumSatisfactoryTrades,0.5088381464512348,0.5088381464512348
numerical__NumInqLast6Mexcl7days,0.4283777193853005,0.4283777193853005
numerical__MaxDelq2PublicRecLast12M,0.22890341840456543,0.22890341840456543
numerical__NetFractionInstallBurden,-0.17801508141503247,0.17801508141503247
numerical__MSinceMostRecentTradeOpen,0.17197726738220556,0.17197726738220556
numerical__NumRevolvingTradesWBalance,-0.1537740714549585,0.1537740714549585
numerical__NetFractionRevolvingBurden,0.14150085387832984,0.14150085387832984
numerical__MaxDelqEver,0.10830480857259596,0.10830480857259596
numerical__MSinceMostRecentInqexcl7days,0.09861610844985934,0.09861610844985934
numerical__NumBank2NatlTradesWHighUtilization,-0.09741120491047855,0.09741120491047855
numerical__MSinceMostRecentDelq,0.09251407646552771,0.09251407646552771
numerical__AverageMInFile,0.05702976680709434,0.05702976680709434
numerical__NumTradesOpeninLast12M,-0.040187953848577956,0.040187953848577956
numerical__NumInstallTradesWBalance,0.039233412461854265,0.039233412461854265
numerical__PercentInstallTrades,-0.038650365578499844,0.038650365578499844
numerical__PercentTradesWBalance,0.037540077784464825,0.037540077784464825
numerical__MSinceOldestTradeOpen,0.028049290011683676,0.028049290011683676
numerical__NumTrades90Ever2DerogPubRec,0.02377516172791133,0.02377516172791133
numerical__NumTrades60Ever2DerogPubRec,-0.02119051443445745,0.02119051443445745
numerical__NumTotalTrades,0.018626293852544547,0.018626293852544547
