feature,contribution,abs_contribution
numerical__PercentTradesNeverDelq,0.07848239653143196,0.07848239653143196
numerical__ExternalRiskEstimate,0.07809465566020578,0.07809465566020578
numerical__NetFractionInstallBurden,-0.03311645179148748,0.03311645179148748
numerical__NumSatisfactoryTrades,0.028885066700322995,0.028885066700322995
numerical__MSinceMostRecentDelq,0.027140388369805635,0.027140388369805635
numerical__NetFractionRevolvingBurden,0.017048608281685064,0.017048608281685064
numerical__NumTotalTrades,0.012492927149800047,0.012492927149800047
numerical__MSinceMostRecentInqexcl7days,0.012345306955242562,0.012345306955242562
numerical__MaxDelq2PublicRecLast12M,0.01092945424617085,0.01092945424617085
numerical__NumBank2NatlTradesWHighUtilization,-0.009667200181936265,0.009667200181936265
numerical__NumInqLast6M,-0.008538837143999133,0.008538837143999133
numerical__NumTradesOpeninLast12M,0.00852037175759694,0.00852037175759694
numerical__MaxDelqEver,0.007931432923577404,0.007931432923577404
numerical__NumInstallTradesWBalance,0.0069065701538286815,0.0069065701538286815
numerical__PercentInstallTrades,-0.005844182451694664,0.005844182451694664
numerical__NumInqLast6Mexcl7days,-0.0054815848272475876,0.0054815848272475876
numerical__NumRevolvingTradesWBalance,-0.0045910374887783685,0.0045910374887783685
numerical__NumTrades60Ever2DerogPubRec,0.004585282913001265,0.004585282913001265
numerical__MSinceMostRecentTradeOpen,-0.004376697068510751,0.004376697068510751
numerical__PercentTradesWBalance,-0.0038773932248416187,0.0038773932248416187
numerical__MSinceOldestTradeOpen,0.0030668846478871716,0.0030668846478871716
numerical__NumTrades90Ever2DerogPubRec,0.0024358133464089347,0.0024358133464089347
numerical__AverageMInFile,0.002254816943454756,0.002254816943454756
