feature,contribution,abs_contribution
numerical__AverageMInFile,-0.13815448830541344,0.13815448830541344
numerical__MSinceOldestTradeOpen,-0.056909473370013904,0.056909473370013904
numerical__NetFractionRevolvingBurden,-0.042500428900972456,0.042500428900972456
numerical__MSinceMostRecentInqexcl7days,-0.037679996331365734,0.037679996331365734
numerical__PercentTradesNeverDelq,0.019934477832859454,0.019934477832859454
numerical__NumBank2NatlTradesWHighUtilization,0.01661158539129724,0.01661158539129724
numerical__NumSatisfactoryTrades,-0.015394404276173631,0.015394404276173631
numerical__PercentInstallTrades,0.01391315575370824,0.01391315575370824
numerical__MaxDelq2PublicRecLast12M,0.01362033224429282,0.01362033224429282
numerical__PercentTradesWBalance,0.011699242531100745,0.011699242531100745
numerical__NetFractionInstallBurden,0.010794940370553806,0.010794940370553806
numerical__MSinceMostRecentTradeOpen,-0.007821007150574651,0.007821007150574651
numerical__ExternalRiskEstimate,0.006537017935061811,0.006537017935061811
numerical__MaxDelqEver,0.005464251951319688,0.005464251951319688
numerical__NumRevolvingTradesWBalance,0.004004186938893966,0.004004186938893966
numerical__NumTradesOpeninLast12M,-0.0031174954001477657,0.0031174954001477657
numerical__NumInstallTradesWBalance,-0.002103852041338117,0.002103852041338117
numerical__MSinceMostRecentDelq,0.0018964058730473507,0.0018964058730473507
numerical__NumTrades60Ever2DerogPubRec,0.0012860859732004518,0.0012860859732004518
numerical__NumTrades90Ever2DerogPubRec,0.0010826612779920258,0.0010826612779920258
numerical__NumInqLast6Mexcl7days,-0.0005071052296950323,0.0005071052296950323
numerical__NumTotalTrades,-0.00047960083605014876,0.00047960083605014876
numerical__NumInqLast6M,3.8160571103705804e-05,3.8160571103705804e-05
