feature,contribution,abs_contribution
numerical__AverageMInFile,-0.3733134874429928,0.3733134874429928
numerical__NumSatisfactoryTrades,-0.18511075747763475,0.18511075747763475
numerical__NumInqLast6M,0.16509411483732736,0.16509411483732736
numerical__PercentInstallTrades,0.15626015601890564,0.15626015601890564
numerical__NumInqLast6Mexcl7days,-0.12133085093715659,0.12133085093715659
numerical__NetFractionRevolvingBurden,-0.09859490501822922,0.09859490501822922
numerical__PercentTradesNeverDelq,0.09506323746282734,0.09506323746282734
numerical__MSinceMostRecentInqexcl7days,-0.09432859909391375,0.09432859909391375
numerical__NumBank2NatlTradesWHighUtilization,0.08968267416323181,0.08968267416323181
numerical__MaxDelqEver,0.08390258550261959,0.08390258550261959
numerical__ExternalRiskEstimate,0.07372351108539196,0.07372351108539196
numerical__MSinceOldestTradeOpen,-0.06628145667238672,0.06628145667238672
numerical__NumRevolvingTradesWBalance,0.06549565981741473,0.06549565981741473
numerical__MaxDelq2PublicRecLast12M,0.06138690086009597,0.06138690086009597
numerical__NetFractionInstallBurden,0.04376022753019518,0.04376022753019518
numerical__NumTrades60Ever2DerogPubRec,-0.030850756672714245,0.030850756672714245
numerical__PercentTradesWBalance,-0.029209762536886216,0.029209762536886216
numerical__MSinceMostRecentDelq,-0.0192171103652682,0.0192171103652682
numerical__MSinceMostRecentTradeOpen,0.016242998842496758,0.016242998842496758
numerical__NumTotalTrades,0.014586271768115876,0.014586271768115876
numerical__NumTrades90Ever2DerogPubRec,0.007995129193310361,0.007995129193310361
numerical__NumInstallTradesWBalance,-0.0039415248569162386,0.0039415248569162386
numerical__NumTradesOpeninLast12M,-0.0014117952840536291,0.0014117952840536291
