feature,contribution,abs_contribution
numerical__duration,-0.057938216072149336,0.057938216072149336
numerical__emp.var.rate,-0.026057218068546342,0.026057218068546342
numerical__nr.employed,-0.016222367933107093,0.016222367933107093
categorical__job_management,0.005221459721221981,0.005221459721221981
categorical__contact_telephone,0.004325140127779334,0.004325140127779334
categorical__month_jul,-0.0038275694270303705,0.0038275694270303705
numerical__pdays,-0.0035431846043877035,0.0035431846043877035
categorical__contact_cellular,0.00330969575786379,0.00330969575786379
numerical__cons.conf.idx,-0.0029745336824129266,0.0029745336824129266
categorical__education_university.degree,0.0026180957113367998,0.0026180957113367998
categorical__month_may,0.0023099344330200387,0.0023099344330200387
categorical__poutcome_success,-0.002278998044581371,0.002278998044581371
categorical__marital_married,0.002208227656881114,0.002208227656881114
numerical__previous,-0.0019100942319580816,0.0019100942319580816
categorical__poutcome_nonexistent,-0.0016983930336739123,0.0016983930336739123
categorical__housing_yes,0.0014093215179661186,0.0014093215179661186
categorical__day_of_week_tue,0.0013674229739541672,0.0013674229739541672
categorical__poutcome_failure,0.0013552765671746064,0.0013552765671746064
categorical__month_apr,-0.0013134726903761646,0.0013134726903761646
categorical__default_unknown,0.0012776435789543723,0.0012776435789543723
numerical__campaign,-0.0011782099933742535,0.0011782099933742535
categorical__month_mar,-0.001176615134115138,0.001176615134115138
categorical__default_no,0.001148102054577632,0.001148102054577632
categorical__marital_divorced,0.0010701224434348905,0.0010701224434348905
categorical__day_of_week_wed,-0.0010305682464900267,0.0010305682464900267
categorical__month_oct,-0.0009994457535314168,0.0009994457535314168
categorical__job_admin.,-0.0009592361924442266,0.0009592361924442266
numerical__cons.price.idx,-0.0009513790560536152,0.0009513790560536152
categorical__month_nov,-0.0009150404292948803,0.0009150404292948803
categorical__marital_single,0.0008809229916871094,0.0008809229916871094
categorical__month_jun,-0.0006207730803754514,0.0006207730803754514
categorical__day_of_week_fri,0.0006190050811485919,0.0006190050811485919
categorical__housing_no,0.0005121578968785757,0.0005121578968785757
categorical__month_aug,-0.0004774856394548706,0.0004774856394548706
categorical__job_retired,-0.0004353134516040803,0.0004353134516040803
categorical__education_professional.course,-0.0003889164957837749,0.0003889164957837749
categorical__education_basic.6y,-0.0002976150886648304,0.0002976150886648304
categorical__education_basic.9y,0.00028416677987305554,0.00028416677987305554
categorical__loan_yes,0.00026859215499358834,0.00026859215499358834
categorical__job_student,-0.00025029410205545846,0.00025029410205545846
categorical__day_of_week_mon,0.00024813516107494133,0.00024813516107494133
categorical__job_services,-0.00024747623583425637,0.00024747623583425637
numerical__age,0.00022910353886032345,0.00022910353886032345
categorical__month_sep,-0.00021181006867109251,0.00021181006867109251
categorical__loan_no,-0.00020139967766824666,0.00020139967766824666
numerical__euribor3m,0.00012963584036502625,0.00012963584036502625
categorical__job_entrepreneur,-0.00011608549632154346,0.00011608549632154346
categorical__job_blue-collar,0.00011213303271381338,0.00011213303271381338
categorical__education_basic.4y,-0.0001018525332973424,0.0001018525332973424
categorical__job_unemployed,-9.38288082405237e-05,9.38288082405237e-05
categorical__day_of_week_thu,8.016283010590559e-05,8.016283010590559e-05
categorical__job_self-employed,-6.572815515711275e-05,6.572815515711275e-05
categorical__job_technician,-4.0705010923014355e-05,4.0705010923014355e-05
categorical__education_high.school,4.042180516503428e-05,4.042180516503428e-05
categorical__marital_unknown,-3.069900502227117e-05,3.069900502227117e-05
categorical__month_dec,-2.8913757341237428e-05,2.8913757341237428e-05
categorical__education_unknown,-2.7090857478879063e-05,2.7090857478879063e-05
categorical__job_unknown,-2.2246786032310472e-05,2.2246786032310472e-05
categorical__education_illiterate,-1.774580420378896e-05,1.774580420378896e-05
categorical__job_housemaid,-1.7352736461834197e-05,1.7352736461834197e-05
categorical__housing_unknown,1.4998540109583224e-05,1.4998540109583224e-05
categorical__loan_unknown,-2.089156929272867e-06,2.089156929272867e-06
categorical__default_yes,4.0820150917697524e-08,4.0820150917697524e-08
