feature,importance
numerical__emp.var.rate,2.3053409092830766
numerical__cons.price.idx,1.0343085158811929
numerical__duration,0.783668359357618
numerical__euribor3m,0.5406529044369845
categorical__month_may,0.3275897592096809
categorical__contact_telephone,0.294882223676934
numerical__nr.employed,0.2297658098952886
categorical__month_jun,0.17327957723630388
categorical__default_unknown,0.16464902365309966
categorical__month_aug,0.14047296426276346
categorical__poutcome_failure,0.13630549150630397
categorical__housing_yes,0.12695378035192292
categorical__housing_no,0.11560525488735193
categorical__month_nov,0.11305430354844749
categorical__job_blue-collar,0.11020973112780523
categorical__marital_married,0.10662851160925792
categorical__day_of_week_mon,0.08181501940637685
numerical__cons.conf.idx,0.07254972830668205
categorical__education_basic.9y,0.06978325104602884
categorical__poutcome_nonexistent,0.06740002623414688
categorical__loan_no,0.06717797119762939
categorical__loan_yes,0.06665191053500026
categorical__education_high.school,0.06559194550456982
numerical__campaign,0.0642430691180474
categorical__marital_single,0.06087162809924376
categorical__default_no,0.06065719000965988
numerical__pdays,0.0564857647021582
categorical__day_of_week_thu,0.05603586494170249
categorical__month_jul,0.0451254236842702
categorical__marital_divorced,0.0443236345501505
categorical__month_apr,0.04259419398996981
categorical__education_basic.4y,0.04256827197235865
categorical__day_of_week_fri,0.04023829432597057
categorical__month_mar,0.037881386105304164
categorical__job_retired,0.037655602840094886
categorical__day_of_week_tue,0.032600019031508734
numerical__previous,0.029746883805807173
categorical__education_professional.course,0.028747796948808694
categorical__job_services,0.02440338664795063
categorical__job_entrepreneur,0.02031435784840052
categorical__job_self-employed,0.017662307336903077
categorical__education_university.degree,0.015112486912820838
categorical__contact_cellular,0.009643446950110195
categorical__job_technician,0.009510945358109221
categorical__poutcome_success,0.008806742611826353
categorical__loan_unknown,0.008193871497160022
categorical__housing_unknown,0.008193871497160022
categorical__job_student,0.00519679680576531
categorical__job_admin.,0.005137551533444784
categorical__month_oct,0.004947826532836918
categorical__job_management,0.004677359897817647
categorical__job_housemaid,0.0038959642245540932
categorical__education_basic.6y,0.0038225892060301117
numerical__age,0.003733035625249426
categorical__education_unknown,0.0026670885405376335
categorical__education_illiterate,0.002201742045479306
categorical__job_unemployed,0.0010795380107834075
categorical__day_of_week_wed,0.0009058937899825358
categorical__month_sep,0.000370974078429435
categorical__job_unknown,0.0001560807290831105
categorical__marital_unknown,0.00010546117522886546
categorical__month_dec,7.535294478135514e-05
categorical__default_yes,0.0
