feature,importance
numerical__duration,0.07025400611505547
numerical__emp.var.rate,0.029141036581667525
numerical__euribor3m,0.01774396419188647
numerical__nr.employed,0.017642310350661102
categorical__month_may,0.009097824980301159
numerical__cons.conf.idx,0.006897780458421438
numerical__age,0.0063117321719966665
categorical__contact_telephone,0.005200596684270534
numerical__cons.price.idx,0.005022051981388296
categorical__contact_cellular,0.004168602798933788
numerical__pdays,0.004015196659666151
categorical__poutcome_failure,0.0027004479561120133
categorical__education_university.degree,0.002628594781794471
categorical__poutcome_nonexistent,0.0025491783606518934
numerical__campaign,0.002538805089610318
categorical__default_unknown,0.0024305581280072877
categorical__day_of_week_wed,0.002420122944708387
categorical__default_no,0.0021607850151536996
categorical__poutcome_success,0.0021332152471847574
categorical__month_oct,0.0018094398266080473
categorical__day_of_week_thu,0.0017633456591264237
categorical__month_nov,0.0016983272991271425
categorical__job_blue-collar,0.0016288330811297393
numerical__previous,0.0016091468436323672
categorical__day_of_week_fri,0.0015233394570601585
categorical__day_of_week_mon,0.0015208182018985274
categorical__housing_yes,0.001506085665986196
categorical__housing_no,0.001497786457063619
categorical__marital_single,0.0014684904365394838
categorical__month_mar,0.001448061383315482
categorical__month_jul,0.001426184000675477
categorical__marital_married,0.0013528557858228
categorical__job_admin.,0.0013303269678642453
categorical__month_apr,0.0012800572959855178
categorical__day_of_week_tue,0.0012368085008511304
categorical__job_retired,0.0011817282391007817
categorical__education_high.school,0.0011652364736514272
categorical__job_technician,0.0011476825516206427
categorical__month_jun,0.0010880395352282613
categorical__education_basic.9y,0.0010713260109962988
categorical__month_aug,0.0010559168385454582
categorical__loan_yes,0.0009274239960597062
categorical__job_management,0.0009218095745251444
categorical__loan_no,0.0008912332043644571
categorical__education_basic.4y,0.0007794491356451879
categorical__education_professional.course,0.0006550983370611036
categorical__job_entrepreneur,0.0006521032902113828
categorical__education_basic.6y,0.0005692262456868303
categorical__marital_divorced,0.0005664502555903754
categorical__job_student,0.0005455127057959414
categorical__job_services,0.0005219507178334485
categorical__education_unknown,0.00038626828780923017
categorical__job_unemployed,0.0003464948416905875
categorical__job_self-employed,0.00029899323562595045
categorical__job_housemaid,0.00021394009765862107
categorical__housing_unknown,0.00016388855943753276
categorical__loan_unknown,0.00012993355560107244
categorical__month_sep,0.00012917182710414982
categorical__job_unknown,8.012921897293537e-05
categorical__education_illiterate,5.6706543955525516e-05
categorical__month_dec,5.0991581480615896e-05
categorical__marital_unknown,1.7239272689487075e-05
categorical__default_yes,0.0
