feature,importance
numerical__NumInqLast6M,0.49391510313986153
numerical__ExternalRiskEstimate,0.41888265622655324
numerical__NumInqLast6Mexcl7days,0.37882350901663664
numerical__NumSatisfactoryTrades,0.2578160930979919
numerical__NetFractionRevolvingBurden,0.23559901791387838
numerical__AverageMInFile,0.19268602722438483
numerical__PercentInstallTrades,0.14715448791955366
numerical__MSinceMostRecentInqexcl7days,0.13946945781719253
numerical__NumRevolvingTradesWBalance,0.1154972861921299
numerical__PercentTradesNeverDelq,0.10770165199793515
numerical__NumBank2NatlTradesWHighUtilization,0.09844540860556301
numerical__MaxDelq2PublicRecLast12M,0.07083756907709662
numerical__MaxDelqEver,0.06702137150026628
numerical__MSinceMostRecentTradeOpen,0.05188868665143055
numerical__MSinceMostRecentDelq,0.05149243608477115
numerical__MSinceOldestTradeOpen,0.04972086220039135
numerical__PercentTradesWBalance,0.04817099022402269
numerical__NumTrades60Ever2DerogPubRec,0.03893805203313471
numerical__NetFractionInstallBurden,0.03850153152232918
numerical__NumInstallTradesWBalance,0.030627995852494216
numerical__NumTradesOpeninLast12M,0.028741052671944548
numerical__NumTrades90Ever2DerogPubRec,0.022926461574192446
numerical__NumTotalTrades,0.010982815458216588
