feature,importance
numerical__ExternalRiskEstimate,0.06758199848009357
numerical__NetFractionRevolvingBurden,0.0404424844013757
numerical__AverageMInFile,0.034206740959869725
numerical__PercentTradesNeverDelq,0.0296914493630201
numerical__MSinceMostRecentInqexcl7days,0.02875838117135598
numerical__NumBank2NatlTradesWHighUtilization,0.022538734923048923
numerical__NumSatisfactoryTrades,0.020430657377506017
numerical__MSinceOldestTradeOpen,0.015959132165457104
numerical__PercentTradesWBalance,0.014408136373198254
numerical__PercentInstallTrades,0.01413666401276002
numerical__MSinceMostRecentDelq,0.011394802348479855
numerical__MaxDelq2PublicRecLast12M,0.010561789833438187
numerical__NumTotalTrades,0.01029101718008621
numerical__MaxDelqEver,0.009805123149128705
numerical__NumInqLast6M,0.008220439302646309
numerical__NumRevolvingTradesWBalance,0.007910650828480846
numerical__NetFractionInstallBurden,0.006606659398645989
numerical__NumInqLast6Mexcl7days,0.006138034106431478
numerical__MSinceMostRecentTradeOpen,0.004780367000058745
numerical__NumTradesOpeninLast12M,0.004522837798703756
numerical__NumTrades60Ever2DerogPubRec,0.004493707842639081
numerical__NumTrades90Ever2DerogPubRec,0.003694754578862452
numerical__NumInstallTradesWBalance,0.003252210439277308
