feature,importance
numerical__ExternalRiskEstimate,0.0744811310115461
numerical__NetFractionRevolvingBurden,0.04142595343853449
numerical__AverageMInFile,0.03907318893699222
numerical__PercentTradesNeverDelq,0.034813372060020796
numerical__MSinceMostRecentInqexcl7days,0.03235538899686301
numerical__NumBank2NatlTradesWHighUtilization,0.025719939026255276
numerical__NumSatisfactoryTrades,0.023294498667209926
numerical__PercentTradesWBalance,0.019344635167354664
numerical__MSinceOldestTradeOpen,0.01832471148284514
numerical__MaxDelq2PublicRecLast12M,0.017718650293135386
numerical__MSinceMostRecentDelq,0.017023865651021878
numerical__PercentInstallTrades,0.01323857725658091
numerical__MaxDelqEver,0.013229710670805216
numerical__NumTotalTrades,0.009150493486634676
numerical__NumRevolvingTradesWBalance,0.008844243596318822
numerical__NumInqLast6M,0.008387062401864603
numerical__NetFractionInstallBurden,0.00671665543758657
numerical__NumTrades60Ever2DerogPubRec,0.0061782095708227515
numerical__NumInqLast6Mexcl7days,0.005026638893135284
numerical__MSinceMostRecentTradeOpen,0.004613409567411954
numerical__NumTradesOpeninLast12M,0.0033674345443131448
numerical__NumTrades90Ever2DerogPubRec,0.003321233348762219
numerical__NumInstallTradesWBalance,0.0027992464270038277
