feature,importance
numerical__ExternalRiskEstimate,0.4816432909368167
numerical__NumInqLast6M,0.47125183003489923
numerical__NumInqLast6Mexcl7days,0.3613124923239196
numerical__NumSatisfactoryTrades,0.26691062050906245
numerical__NetFractionRevolvingBurden,0.25871449298212945
numerical__AverageMInFile,0.22215743094958107
numerical__PercentInstallTrades,0.1614353566234286
numerical__PercentTradesNeverDelq,0.1439665991056645
numerical__NumRevolvingTradesWBalance,0.1289237528693105
numerical__MSinceMostRecentInqexcl7days,0.12879576830562575
numerical__NumBank2NatlTradesWHighUtilization,0.09823150979393537
numerical__MaxDelq2PublicRecLast12M,0.08072943902140857
numerical__MaxDelqEver,0.07635256590615706
numerical__MSinceMostRecentTradeOpen,0.06414174407909376
numerical__MSinceMostRecentDelq,0.061542898880781405
numerical__MSinceOldestTradeOpen,0.05793733622825493
numerical__PercentTradesWBalance,0.048126054697365424
numerical__NumTrades60Ever2DerogPubRec,0.04349740719034001
numerical__NetFractionInstallBurden,0.03595610404779661
numerical__NumTradesOpeninLast12M,0.02984115049264248
numerical__NumInstallTradesWBalance,0.028472247900888516
numerical__NumTrades90Ever2DerogPubRec,0.02573359030414267
numerical__NumTotalTrades,0.01170091117935517
