feature,importance
numerical__duration,0.0626709329782002
numerical__emp.var.rate,0.026539464947563277
numerical__nr.employed,0.026368129002870878
numerical__euribor3m,0.01690930722469347
numerical__pdays,0.00978253314399516
categorical__contact_telephone,0.007546341472935026
numerical__age,0.007363963217074592
numerical__cons.conf.idx,0.007339521849656413
categorical__month_may,0.0068409143906683935
categorical__contact_cellular,0.006532408849990735
categorical__poutcome_success,0.00593989856635777
numerical__cons.price.idx,0.005428136509030783
categorical__poutcome_nonexistent,0.0031509448899403516
categorical__month_mar,0.003028989730044428
categorical__poutcome_failure,0.0029485181128551747
numerical__campaign,0.0028021777224091406
categorical__education_university.degree,0.002725233811165733
numerical__previous,0.0022716490326506137
categorical__day_of_week_mon,0.0020750981559978306
categorical__month_nov,0.0019237189400363609
categorical__default_unknown,0.0018793046525519925
categorical__day_of_week_tue,0.001827075857685466
categorical__default_no,0.0017710092904521418
categorical__day_of_week_wed,0.0016674581567292714
categorical__marital_single,0.001584324001034876
categorical__month_apr,0.001440618537598165
categorical__housing_no,0.0013707872408206642
categorical__housing_yes,0.001348659109107616
categorical__job_admin.,0.0012858639107293738
categorical__day_of_week_fri,0.0012778464832730665
categorical__job_technician,0.0012665914514865969
categorical__job_retired,0.001210131395115422
categorical__marital_married,0.0011342701771374566
categorical__month_jul,0.0011308073260587375
categorical__month_oct,0.0011242356786650275
categorical__day_of_week_thu,0.0011004530259863445
categorical__education_high.school,0.0009863643816559941
categorical__job_self-employed,0.0009644991574695
categorical__job_management,0.0008942677812215518
categorical__education_basic.9y,0.0008929589132718249
categorical__job_blue-collar,0.0008846145161735562
categorical__month_jun,0.000816238555058829
categorical__month_sep,0.0008065748712436858
categorical__month_aug,0.0008028617862465903
categorical__loan_no,0.0007973707929748938
categorical__loan_yes,0.0007560053941040356
categorical__education_unknown,0.0007022594719910235
categorical__education_basic.6y,0.0006547007386015937
categorical__marital_divorced,0.000599699586838982
categorical__education_professional.course,0.0005725297105777765
categorical__job_unemployed,0.000548730765829401
categorical__job_services,0.000539109616312479
categorical__education_basic.4y,0.0004892452473069958
categorical__job_student,0.000438786521252301
categorical__job_entrepreneur,0.0004052208317853587
categorical__marital_unknown,0.00020362853499477311
categorical__job_housemaid,0.00019465577085389418
categorical__housing_unknown,0.000173503347114433
categorical__loan_unknown,0.00014573438076890773
categorical__job_unknown,0.0001032268063444241
categorical__month_dec,8.410449264841481e-05
categorical__education_illiterate,4.205411095109179e-05
categorical__default_yes,5.635864170149979e-08
